artifact_id,kind,section,priority,title,path,status,source,note,size_bytes,rows,columns,width,height
Gambar 4.1,figure,4.1.1,required,Perbandingan tile Sentinel-2 valid dan kosong/hampir kosong,/home/nozomi/Productive/skripsi/bab4/outputs/figures/4_1_1_s2_valid_vs_empty_comparison.png,exists,dataset/tiles/7ch/by_region/*/*.npz,,1943622,,,2373,1629
Gambar 4.2,figure,4.1.1,required,Visualisasi contoh channel input pada wilayah Aceh Utara,/home/nozomi/Productive/skripsi/bab4/outputs/figures/4_1_1_channel_example_aceh_utara.png,exists,dataset/features_preprocessed/Aceh_Utara/,,2214181,,,2478,1154
Gambar 4.4,figure,4.2,required,Visualisasi mask UNOSAT pada wilayah Aceh Utara,/home/nozomi/Productive/skripsi/bab4/outputs/figures/4_2_unosat_mask_panel_aceh_utara.png,exists,dataset/labels_unosat_rasterized/Aceh_Utara/,,578473,,,3222,674
Gambar 4.5,figure,4.2,required,Class imbalance label banjir per wilayah,/home/nozomi/Productive/skripsi/bab4/outputs/figures/4_2_flood_label_distribution.png,exists,dataset/preprocessing_summary.csv,,116214,,,2550,1389
Gambar 4.6,figure,4.2,required,Contoh tile positif dan background-only,/home/nozomi/Productive/skripsi/bab4/outputs/figures/4_2_positive_background_tile_examples.png,exists,dataset/tiles/7ch/by_region/Aceh_Utara/*.npz,,3256713,,,2850,1577
Gambar 4.7,figure,4.3,required,"Jumlah tile train, validation, dan final test per fold",/home/nozomi/Productive/skripsi/bab4/outputs/figures/4_3_fold_tile_counts.png,exists,scripts/preprocessing_utils.py;dataset/preprocessing_summary.csv,,68362,,,2329,1291
Gambar 4.8,figure,4.4.1,required,Diagram implementasi U-Net aktual,/home/nozomi/Productive/skripsi/bab4/outputs/figures/4_4_1_unet_architecture_diagram.png,exists,training/models/unet.py;training/models/blocks.py,,113197,,,2617,1030
Gambar 4.9,figure,4.4.1,required,Diagram implementasi ProCANet aktual,/home/nozomi/Productive/skripsi/bab4/outputs/figures/4_4_1_procanet_architecture_diagram.png,exists,training/models/procanet.py;training/models/blocks.py,,181929,,,2680,1215
Gambar 4.10,figure,4.4.2,required,Perbandingan mean validation IoU per kombinasi hyperparameter,/home/nozomi/Productive/skripsi/bab4/outputs/figures/4_4_2_hyperparameter_mean_iou_comparison.png,exists,"runs/{unet,procanet}/fold_*/grid_*/metrics.csv",,69947,,,2759,1346
Gambar 4.11,figure,4.4.3,required,Kurva stabilitas pelatihan pada konfigurasi terbaik,/home/nozomi/Productive/skripsi/bab4/outputs/figures/4_4_3_training_curves.png,exists,runs/unet/fold_0/grid_lr_5e-5_wd_1e-4/metrics.csv;runs/unet/fold_1/grid_lr_5e-5_wd_1e-4/metrics.csv;runs/unet/fold_2/grid_lr_5e-5_wd_1e-4/metrics.csv;runs/unet/fold_3/grid_lr_5e-5_wd_1e-4/metrics.csv;runs/unet/fold_4/grid_lr_5e-5_wd_1e-4/metrics.csv;runs/procanet/fold_0/grid_lr_1e-4_wd_1e-4/metrics.csv;runs/procanet/fold_1/grid_lr_1e-4_wd_1e-4/metrics.csv;runs/procanet/fold_2/grid_lr_1e-4_wd_1e-4/metrics.csv;runs/procanet/fold_3/grid_lr_1e-4_wd_1e-4/metrics.csv;runs/procanet/fold_4/grid_lr_1e-4_wd_1e-4/metrics.csv,,435068,,,2957,2073
Gambar 4.12,figure,4.5,required,Perbandingan metrik checkpoint terbaik spatial CV pada wilayah uji Aceh Utara,/home/nozomi/Productive/skripsi/bab4/outputs/figures/4_5_final_metrics_comparison.png,exists,"runs/cv_best_checkpoint_eval/{unet,procanet}/eval_test/metrics.csv;runs/cv_best_checkpoint_eval/{unet,procanet}/eval_test/geotiff/Aceh_Utara_probability.tif;runs/cv_best_checkpoint_eval/{unet,procanet}/eval_test/geotiff/Aceh_Utara_effective_valid_mask.tif;dataset/labels_unosat_rasterized/Aceh_Utara/label_flood_binary.tif",,90106,,,2880,1345
Gambar 4.13,figure,4.6,required,"Panel input, label, dan prediksi segmentasi pada tile Aceh Utara",/home/nozomi/Productive/skripsi/bab4/outputs/figures/4_6_segmentation_panel_aceh_utara.png,exists,"dataset/tiles/7ch/by_region/Aceh_Utara/Aceh_Utara_r001280_c005632.npz;runs/cv_best_checkpoint_eval/{unet,procanet}/eval_test/predictions/Aceh_Utara/Aceh_Utara_r001280_c005632.npz",,2649188,,,2501,1419
Gambar 4.14,figure,4.6,required,Error map TP/FP/FN/TN pada tile Aceh Utara,/home/nozomi/Productive/skripsi/bab4/outputs/figures/4_6_error_map_aceh_utara.png,exists,"dataset/tiles/7ch/by_region/Aceh_Utara/Aceh_Utara_r001280_c005632.npz;runs/cv_best_checkpoint_eval/{unet,procanet}/eval_test/predictions/Aceh_Utara/Aceh_Utara_r001280_c005632.npz",,374340,,,2013,1166
Gambar 4.15,figure,4.7,required,Perbandingan modality masking U-Net,/home/nozomi/Productive/skripsi/bab4/outputs/figures/4_7_unet_modality_masking_panel.png,exists,"bab4/evaluation/modality_masking/{modality_metrics.csv,*/eval_test/predictions,provenance.json}",,813188,,,4245,1002
Gambar 4.16,figure,4.7,required,Perbandingan modality masking ProCANet,/home/nozomi/Productive/skripsi/bab4/outputs/figures/4_7_procanet_modality_masking_panel.png,exists,"bab4/evaluation/modality_masking/{modality_metrics.csv,*/eval_test/predictions,provenance.json}",,863951,,,4245,1002
Gambar 4.17,figure,4.8,required,Kondisi data sulit pada wilayah cross-validation,/home/nozomi/Productive/skripsi/bab4/outputs/figures/4_8_difficult_data_case_studies.png,exists,dataset/preprocessing_summary.csv;dataset/tiles/7ch/by_region,,124029,,,2118,1332
Gambar 4.18,figure,4.8,required,Kasus OOF Sentinel-2 kosong/hampir kosong,/home/nozomi/Productive/skripsi/bab4/outputs/figures/4_8_hsv_zero_tile_panel.png,exists,"runs/oof_extreme_conditions/{micro_metrics.csv,per_region_metrics.csv,selected_tiles.csv,provenance.json};/home/nozomi/Productive/skripsi/dataset/tiles/7ch/by_region/Aceh_Tamiang/Aceh_Tamiang_r001024_c003840.npz",,4189848,,,2729,2475
Gambar 4.19,figure,4.8,required,Kasus OOF topografi sulit atau kandidat radar shadow,/home/nozomi/Productive/skripsi/bab4/outputs/figures/4_8_topography_radar_shadow_case.png,exists,"runs/oof_extreme_conditions/{micro_metrics.csv,per_region_metrics.csv,selected_tiles.csv,provenance.json};/home/nozomi/Productive/skripsi/dataset/tiles/7ch/by_region/Aceh_Timur/Aceh_Timur_r011264_c002048.npz",,4888592,,,2729,2475
Gambar 4.20,figure,4.8,required,Kasus OOF badan air permanen,/home/nozomi/Productive/skripsi/bab4/outputs/figures/4_8_permanent_water_case.png,exists,"runs/oof_extreme_conditions/{micro_metrics.csv,per_region_metrics.csv,selected_tiles.csv,provenance.json};/home/nozomi/Productive/skripsi/dataset/tiles/7ch/by_region/Aceh_Timur/Aceh_Timur_r005632_c007424.npz",,3897220,,,2729,2475
Narasi 4.1.1,narrative,4.1.1,required,Interpretasi karakter input,/home/nozomi/Productive/skripsi/bab4/outputs/narratives/4_1_1_input_character_interpretation.md,exists,dataset/features_preprocessed;dataset/*.csv,,520,,,,
Narasi 4.1.2,narrative,4.1.2,required,Interpretasi alignment,/home/nozomi/Productive/skripsi/bab4/outputs/narratives/4_1_2_alignment_interpretation.md,exists,dataset/features_preprocessed/*/*.tif,,321,,,,
Narasi 4.2,narrative,4.2,required,Interpretasi label dan tile,/home/nozomi/Productive/skripsi/bab4/outputs/narratives/4_2_label_tile_interpretation.md,exists,dataset/preprocessing_summary.csv;dataset/labels_unosat_rasterized;dataset/tiles,,372,,,,
Narasi 4.3,narrative,4.3,required,Interpretasi spatial split,/home/nozomi/Productive/skripsi/bab4/outputs/narratives/4_3_spatial_split_interpretation.md,exists,scripts/preprocessing_utils.py;dataset/preprocessing_summary.csv,,345,,,,
Narasi 4.4.1,narrative,4.4.1,required,Interpretasi arsitektur,/home/nozomi/Productive/skripsi/bab4/outputs/narratives/4_4_1_architecture_interpretation.md,exists,training/models/unet.py;training/models/procanet.py;training/models/blocks.py,,349,,,,
Narasi 4.4.2,narrative,4.4.2,required,Interpretasi tuning hyperparameter,/home/nozomi/Productive/skripsi/bab4/outputs/narratives/4_4_2_hyperparameter_tuning_interpretation.md,exists,"runs/{unet,procanet}/fold_*/grid_*/metrics.csv",,344,,,,
Narasi 4.4.3,narrative,4.4.3,required,Interpretasi stabilitas training,/home/nozomi/Productive/skripsi/bab4/outputs/narratives/4_4_3_training_stability_interpretation.md,exists,runs/unet/fold_0/grid_lr_5e-5_wd_1e-4/metrics.csv;runs/unet/fold_1/grid_lr_5e-5_wd_1e-4/metrics.csv;runs/unet/fold_2/grid_lr_5e-5_wd_1e-4/metrics.csv;runs/unet/fold_3/grid_lr_5e-5_wd_1e-4/metrics.csv;runs/unet/fold_4/grid_lr_5e-5_wd_1e-4/metrics.csv;runs/procanet/fold_0/grid_lr_1e-4_wd_1e-4/metrics.csv;runs/procanet/fold_1/grid_lr_1e-4_wd_1e-4/metrics.csv;runs/procanet/fold_2/grid_lr_1e-4_wd_1e-4/metrics.csv;runs/procanet/fold_3/grid_lr_1e-4_wd_1e-4/metrics.csv;runs/procanet/fold_4/grid_lr_1e-4_wd_1e-4/metrics.csv,,940,,,,
Narasi 4.5,narrative,4.5,required,Interpretasi evaluasi checkpoint terbaik spatial CV,/home/nozomi/Productive/skripsi/bab4/outputs/narratives/4_5_final_evaluation_interpretation.md,exists,"runs/cv_best_checkpoint_eval/{unet,procanet}/eval_test/metrics.csv;runs/cv_best_checkpoint_eval/{unet,procanet}/eval_test/geotiff/Aceh_Utara_probability.tif;runs/cv_best_checkpoint_eval/{unet,procanet}/eval_test/geotiff/Aceh_Utara_effective_valid_mask.tif;dataset/labels_unosat_rasterized/Aceh_Utara/label_flood_binary.tif",,814,,,,
Narasi 4.6,narrative,4.6,required,Interpretasi visual spasial,/home/nozomi/Productive/skripsi/bab4/outputs/narratives/4_6_visual_spatial_interpretation.md,exists,"dataset/tiles/7ch/by_region/Aceh_Utara;runs/cv_best_checkpoint_eval/{unet,procanet}/eval_test/predictions/Aceh_Utara",,384,,,,
Narasi 4.7,narrative,4.7,required,Interpretasi sensitivitas modality masking,/home/nozomi/Productive/skripsi/bab4/outputs/narratives/4_7_modality_masking_interpretation.md,exists,"bab4/evaluation/modality_masking/{modality_metrics.csv,*/eval_test/predictions,provenance.json}",,982,,,,
Narasi 4.8,narrative,4.8,required,Interpretasi ketahanan model pada kondisi ekstrem,/home/nozomi/Productive/skripsi/bab4/outputs/narratives/4_8_extreme_condition_oof_interpretation.md,exists,"runs/oof_extreme_conditions/{micro_metrics.csv,per_region_metrics.csv,selected_tiles.csv,provenance.json}",,773,,,,
Tabel 4.1,table,4.1.1,required,Statistik Sentinel-1 VV dan VH hasil normalisasi per wilayah,/home/nozomi/Productive/skripsi/bab4/outputs/tables/4_1_1_sentinel1_vv_vh_stats.csv,exists,"dataset/features_preprocessed/*/{vv_norm.tif,vh_norm.tif,feature_valid_mask.tif}",,565,11,6,,
Tabel 4.2,table,4.1.1,required,Validitas Sentinel-2 per wilayah,/home/nozomi/Productive/skripsi/bab4/outputs/tables/4_1_1_s2_valid_mask_by_region.csv,exists,"dataset/features_preprocessed/*/{s2_valid_mask.tif,feature_valid_mask.tif}",,449,11,4,,
Tabel 4.3,table,4.1.1,required,Statistik Slope dan HAND hasil normalisasi per wilayah,/home/nozomi/Productive/skripsi/bab4/outputs/tables/4_1_1_demnas_slope_hand_stats.csv,exists,"dataset/features_preprocessed/*/{slope_norm.tif,hand_norm.tif,feature_valid_mask.tif}",,576,11,6,,
Tabel 4.4,table,4.1.2,required,Hasil verifikasi alignment raster multisensor per wilayah,/home/nozomi/Productive/skripsi/bab4/outputs/tables/4_1_2_alignment_verification.csv,exists,dataset/features_preprocessed/*/*.tif,,608,11,5,,
Tabel 4.5,table,4.1.2,required,Verifikasi layer dalam stack_7ch.tif pada wilayah Aceh Utara,/home/nozomi/Productive/skripsi/bab4/outputs/tables/4_1_2_stack_7ch_layer_verification.csv,exists,dataset/features_preprocessed/Aceh_Utara/stack_7ch.tif,,435,7,6,,
Tabel 4.6,table,4.2,required,Statistik label UNOSAT dan mask per wilayah,/home/nozomi/Productive/skripsi/bab4/outputs/tables/4_2_label_mask_tile_stats.csv,exists,dataset/preprocessing_summary.csv,,557,11,5,,
Tabel 4.7,table,4.2,required,Statistik label UNOSAT dibandingkan valid mask,/home/nozomi/Productive/skripsi/bab4/outputs/tables/4_2_label_valid_mask_percentage.csv,exists,dataset/preprocessing_summary.csv,,341,11,4,,
Tabel 4.8,table,4.2,required,Distribusi tile positif dan background per wilayah,/home/nozomi/Productive/skripsi/bab4/outputs/tables/4_2_tile_distribution_by_split_region.csv,exists,dataset/preprocessing_summary.csv;dataset/tiles/7ch/by_region,,513,11,7,,
Tabel 4.9,table,4.3,required,Pembagian 5-fold spatial cross-validation,/home/nozomi/Productive/skripsi/bab4/outputs/tables/4_3_five_fold_spatial_cv.csv,exists,scripts/preprocessing_utils.py;dataset/preprocessing_summary.csv,,666,5,4,,
