komponen,u_net,procanet
Jenis model,Single encoder-decoder,Dual encoder single decoder dengan Progressive Cross-Attention
Input utama,"7 channel: VV, VH, Hue, Saturation, Value, Slope, HAND","Encoder 1: 7 channel penuh; Encoder 2: VV, VH"
Output akhir,1 channel logit,1 channel logit
Base channels,32,32
Kedalaman encoder,4 level,4 level pada masing-masing encoder
Channel encoder,"32, 64, 128, 256","32, 64, 128, 256 pada kedua encoder"
Bottleneck,ConvBlock 256 -> 512,"ConvBlock 256 -> 512 pada tiap encoder, lalu PCAB bottleneck"
Blok konvolusi,"Conv2d 3x3 + GroupNorm + ReLU, dua kali","Conv2d 3x3 + GroupNorm + ReLU, dua kali"
Downsampling,MaxPool2d 2x2 pada setiap level encoder,MaxPool2d 2x2 pada kedua encoder
Upsampling/decoder,ConvTranspose2d 2x2 + ConvBlock,ConvTranspose2d 2x2 + ConvBlock memakai fused skips
Mekanisme fusi,Fusi langsung 7-channel sejak input dan skip connection encoder-decoder,ProgressiveCrossAttentionBlock pada skip features dan bottleneck
Checkpoint evaluasi,runs/unet/fold_0/grid_lr_5e-5_wd_1e-4/best.pt,runs/procanet/fold_0/grid_lr_1e-4_wd_1e-4/best.pt
Learning rate checkpoint,5e-05,0.0001
Batch size / gradient accumulation,8 / 2,16 / 1
